Company Name,Type of Partner,Partner Specs,Address,Contact Number,Email,Country Name,Pincode
,,,-2763350,,,,
,,,noel.janda@dsi-ak.com,,,,
,,,Visit Website,,,,
Northern Office Supply,BUSINESS Partner,,8160 Greenwood St,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"Anchorage, AK 99518",,,,
,,,-3447106,,,,
,,,bcatlin@sbsofwa.com,,,,
,,,Visit Website,,,,
Best Buy,BUSINESS Partner,,800 E Dimond Blvd,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"Anchorage, AK 99515",,,,
,,,-3445965,,,,
,,,hpportal@bestbuy.com,,,,
,,,Visit Website,,,,
Alaska Computer Brokers,BUSINESS Partner,,551 W DIMOND BLVD,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"ANCHORAGE, AK 99515",,,,
,,,-2675106,,,,
,,,sales@akcb.com,,,,
,,,Visit Website,,,,
Alaska Enterprise Solutions Inc,BUSINESS Partner,,5235 SHORECREST DR,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"ANCHORAGE, AK 99502",,,,
,,,-5616006,,,,
,,,mike@aesalaska.com,,,,
,,,Visit Website,,,,
Expert Approach Inc,BUSINESS Partner,,11723 Old Glenn HwySte 206,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"Eagle River, AR 99577-7750",,,,
,,,-3108681,,,,
,,,ld@expertapproach.com,,,,
,,,Visit Website,,,,
Arctic Information Technology Inc,BUSINESS Partner,,375 W 36TH AVE STE 300,-3447106,bcatlin@sbsofwa.com,United States of America ,99501
,,,"ANCHORAGE, AK 99503",,,,
,,,-2620406,,,,
,,,mmathis@arcticit.com,,,,
,,,Visit Website,,,,
SHI International Corp,PLATINUM Partner,Networking Specialist - Platinum,51 W THRID ST STE E-230,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"TEMPE, AZ 85281",,,,
,,HPE Security ArcSight Specialist - Gold,-7649619,,,,
,,Infrastructure Specialist - Platinum,Visit Website,,,,
,,Hyper-converged Specialist,,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist - Platinum,,,,,
,,HPE Security Fortify Specialist - Gold,,,,,
,,Cloud Specialist - Gold,,,,,
World Wide Technology Inc,PLATINUM Partner,Networking Specialist - Platinum,2231 E Camelback Rd Ste 100,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85016-3437",,,,
,,HPE Security ArcSight Specialist - Gold,-4727901,,,,
,,Infrastructure Specialist - Platinum,Carrie.Catalano@wwt.com,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Compucom Systems,PLATINUM Partner,Networking Specialist - Platinum,3600 E University DrSte C-1550,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85034-7273",,,,
,,Infrastructure Specialist - Platinum,-7683019,,,,
,,Hyper-converged Specialist,jenwhite@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
CompuCom IT Solutions Inc,PLATINUM Partner,Networking Specialist - Platinum,3600 E University Dr Ste A1475,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85034-7267",,,,
,,Infrastructure Specialist - Platinum,-4706201,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
CompuCom IT Solutions Inc,PLATINUM Partner,Networking Specialist - Platinum,3600 E University Dr Ste A1475,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85034-7267",,,,
,,Infrastructure Specialist - Platinum,-4706201,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
OnX USA LLC,PLATINUM Partner,Networking Specialist - Platinum,6909 W Ray Rd Bldg 15 Ste 121,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Chandler, AZ 85226",,,,
,,IT Operations Specialist - Gold,-4967979,,,,
,,Infrastructure Specialist - Platinum,Visit Website,,,,
,,Hyper-converged Specialist,,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
AdvizeX Technologies LLC,PLATINUM Partner,Networking Specialist - Platinum,4500 S Lakeshore Dr Ste 300,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Tempe, AZ 85282",,,,
,,Infrastructure Specialist - Platinum,-2389317,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Big Data Platform Specialist - Silver,,,,,
,,Cloud Specialist - Gold,,,,,
ePlus Technology Inc,PLATINUM Partner,Networking Specialist - Platinum,7975 N Hayden Rd Ste C250,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Scottsdale, AZ 85258-3216",,,,
,,Infrastructure Specialist - Platinum,-4484180,,,,
,,Hyper-converged Specialist,TLien@eplus.com,,,,
,,HPE Security - Data Security Specialist - Silver,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Holmans USA LLC,PLATINUM Partner,Networking Specialist - Platinum,1575 W University DrSte 111,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Tempe, AZ 85281-3283",,,,
,,Infrastructure Specialist - Platinum,-5451861,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
IT Partners,PLATINUM Partner,Networking Specialist - Platinum,6939 S HARL AVE,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"TEMPE, AZ 85283",,,,
,,Infrastructure Specialist - Platinum,+1-602-6670100 X7102,,,,
,,Hyper-converged Specialist,gary.johnston@itpconsulting.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
,,Cloud Specialist - Gold,,,,,
Netarx - a Logicalis Co,PLATINUM Partner,Networking Specialist - Platinum,2301 W Dunlap Ave Ste 112,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85021",,,,
,,Infrastructure Specialist - Platinum,-6480047,,,,
,,Hyper-converged Specialist,info@us.logicalis.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
,,Cloud Specialist - Gold,,,,,
En Pointe Technologies Sales,PLATINUM Partner,Networking Specialist - Platinum,3131 E Camelback Ste 200,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85016",,,,
,,Infrastructure Specialist - Platinum,-6642478,,,,
,,Hyper-converged Specialist,marketing@enpointe.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
Softchoice Corporation,PLATINUM Partner,Networking Specialist - Platinum,3030 N Central Ave Ste 806,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Phoenix, AZ 85012-2715",,,,
,,Infrastructure Specialist - Platinum,-2638136,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
IT1Source LLC,PLATINUM Partner,Networking Specialist - Platinum,4110 N Scottsdale Rd Unit 300,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Scottsdale, AZ 85251",,,,
,,Infrastructure Specialist - Platinum,-7776871,,,,
,,Hyper-converged Specialist,guy.steinbrink@it1source.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
MicroAge,PLATINUM Partner,Networking Specialist - Platinum,8160 S Hardy Dr Ste 101,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist - Platinum,"Tempe, AZ 85284-1117",,,,
,,Infrastructure Specialist - Platinum,-5449676,,,,
,,Hyper-converged Specialist,Chris.robinette@microage.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
Calence LLC,PLATINUM Partner,Networking Specialist,1620 W Fountainhead # 400,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist,"Tempe, AZ 85282",,,,
,,HPE Security ArcSight Specialist - Gold,-8899979,,,,
,,Infrastructure Specialist,SERVICE@CALENCE.COM,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist,,,,,
,,Cloud Specialist - Gold,,,,,
Insight Direct USA Inc,PLATINUM Partner,Networking Specialist,10027 S 51st St,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist,"Phoenix, AZ 85044",,,,
,,HPE Security ArcSight Specialist - Gold,-4675247,,,,
,,Infrastructure Specialist,Visit Website,,,,
,,Hyper-converged Specialist,,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist,,,,,
,,Cloud Specialist - Gold,,,,,
Insight Direct USA Inc,PLATINUM Partner,Networking Specialist,1305 W Auto Dr,-7649619,Visit Website,United States of America ,85001
,,Storage Specialist,"Tempe, AZ 85284",,,,
,,HPE Security ArcSight Specialist - Gold,-3303480,,,,
,,Infrastructure Specialist,Visit Website,,,,
,,Hyper-converged Specialist,,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist,,,,,
,,Cloud Specialist - Gold,,,,,
MNJ Technologies Direct,PLATINUM Partner,Storage Specialist - Silver,9451 E Becker Ln,-7649619,Visit Website,United States of America ,85001
,,Service Specialist - Gold,"Scottsdale, AZ 85260-6706",,,,
,,Server Specialist - Gold,-6346276,,,,
,,,dbuk@mnjtech.com,,,,
,,,Visit Website,,,,
Li9 Inc,PLATINUM Partner,Storage Specialist - Gold,3104 E Camelback Rd # 130,-7649619,Visit Website,United States of America ,85001
,,Service Specialist - Gold,"Phoenix, AZ 85016-4502",,,,
,,,-6642478,,,,
,,,frank.bracamonte@Li9.com,,,,
,,,Visit Website,,,,
MyOfficeProducts Inc,GOLD Partner,Storage Specialist - Gold,2235 W 1st StSte 103,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Server Specialist - Gold,"Tempe, AZ 85281-7218",,,,
,,,-5196689,,,,
,,,jbaron@hitouchservices.com,,,,
,,,Visit Website,,,,
George Hertzberg & Associates,GOLD Partner,Storage Specialist - Silver,2700 N Hayden Rd Apt 3082,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Gold,"Scottsdale, AZ 85257-1764",,,,
,,,-2352843,,,,
,,,ckazol@gha-associates.com,,,,
,,,Visit Website,,,,
GHA Technologies Inc,GOLD Partner,Storage Specialist - Silver,2700 N Hayden Rd,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Gold,"Scottsdale, AZ 85257",,,,
,,,-2352843,,,,
,,,ckazol@gha-associates.com,,,,
,,,Visit Website,,,,
GHA Technologies Inc,GOLD Partner,Storage Specialist - Silver,8998 E Raintree Dr,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Gold,"Scottsdale, AZ 85260",,,,
,,,-5796362,,,,
,,,inquiries@gha-associates.com,,,,
,,,Visit Website,,,,
GHA Technologies,GOLD Partner,Storage Specialist - Silver,8998 E Raintree Dr,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Gold,"Scottsdale, AZ 85260-7024",,,,
,,,-6270599,,,,
,,,vic.suarez@gha-associates.com,,,,
,,,Visit Website,,,,
All Covered Inc,GOLD Partner,Storage Specialist - Silver,5225 S 39TH ST,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Silver,"PHOENIX, AZ 85040",,,,
,,Server Specialist - Silver,-4370636,,,,
,,,Visit Website,,,,
Pinnacle Business Solutions Inc Arizona,GOLD Partner,Storage Specialist - Silver,1850 N 78th St,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Silver,"Scottsdale, AZ 85257",,,,
,,Server Specialist - Silver,-4611159,,,,
,,,Visit Website,,,,
Pinnacle Technologies Corp,GOLD Partner,Storage Specialist - Silver,4300 N Miller Rd Ste 110,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Silver,"Scottsdale, AZ 85251-3638",,,,
,,Server Specialist - Silver,-3598242,,,,
,,,Visit Website,,,,
QCM Technologies,GOLD Partner,Storage Specialist - Silver,8070 E MORGAN TRL STE 110,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Service Specialist - Silver,"SCOTTSDALE, AZ 85258",,,,
,,Server Specialist - Silver,-5566479,,,,
,,,wchristo@qcmtech.com,,,,
,,,Visit Website,,,,
Custom Storage Inc,GOLD Partner,Storage Specialist - Silver,7975 N Hayden RdSte A 105,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Server Specialist - Silver,"Scottsdale, AZ 85258",,,,
,,,-7602579,,,,
,,,pete@cstor.com,,,,
,,,Visit Website,,,,
MIT,GOLD Partner,Storage Specialist - Silver,1310 W Drivers Way,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Server Specialist - Silver,"Tempe, AZ 85284-1036",,,,
,,,-7972,,,,
,,,sales@emailmit.com,,,,
,,,Visit Website,,,,
Alliance Technology Partners,GOLD Partner,Storage Specialist - Silver,6024 N 79th St,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,,"Scottsdale, AZ 85250-4742",,,,
,,,+1-888-8918885 x603,,,,
,,,Visit Website,,,,
Safari Micro,GOLD Partner,Storage Specialist - Silver,2185 W PECOS RD STE 9,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,,"CHANDLER, AZ 85224",,,,
,,,-4465657,,,,
,,,EROL@SAFARIMICRO.COM,,,,
,,,Visit Website,,,,
Paragon Micro Inc,GOLD Partner,Storage Specialist - Silver,1711 W Greentree Dr,-5196689,jbaron@hitouchservices.com,United States of America ,85001
,,Server Specialist - Silver,"Tempe, AZ 85284-2719",,,,
,,,-3809528,,,,
,,,bam@paragonmicro.com,,,,
,,,Visit Website,,,,
Flanagan Bookstore Community College of Rhode Island,BUSINESS Partner,,1762 Louisquisset Pike,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Lincoln, RI 02865",,,,
,,,-3337411,,,,
,,,dlydeard@ccri.edu,,,,
,,,Visit Website,,,,
Best Buy.com,BUSINESS Partner,,280 School St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-2379176,,,,
,,,hpportal@bestbuy.com,,,,
,,,Visit Website,,,,
ITLNOW Inc,BUSINESS Partner,,622 GRGE WASH HWY STE 603,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"LINCOLN, RI 02865",,,,
,,,-3492535,,,,
,,,ravila@itlnow.com,,,,
,,,Visit Website,,,,
Spade Technology Inc,BUSINESS Partner,,800 S Main StSte 103,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-3144",,,,
,,,-3395670,,,,
,,,mkeough@spadetechnology.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,390 West St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-1161",,,,
,,,-2613396,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Instock Design Supply Inc,BUSINESS Partner,,44 Wood Ave Bldg 1,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-1255",,,,
,,,-2611865,,,,
,,,info@instockdesign.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,2000 Diamond Hill Rd,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Woonsocket, RI 02895-1554",,,,
,,,-7659066,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
OfficeLand,BUSINESS Partner,,125 HIGH ST STE 7,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"MANSFIELD, MA 02048",,,,
,,,-2851387,,,,
,,,mutchler@officelandma.com,,,,
,,,Visit Website,,,,
Elite IT Management LLC,BUSINESS Partner,,87 Ruth Ave,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Rumford, RI 02916",,,,
,,,-9197946,,,,
,,,jason@eliteitmanagement.com,,,,
,,,Visit Website,,,,
Genesys Consulting Associates,BUSINESS Partner,,309 BLACKSTONE BLVD,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"PROVIDENCE, RI 02906",,,,
,,,-3510450,,,,
,,,steve@genesysca.com,,,,
,,,Visit Website,,,,
Envision Technology Advisors LLC,BUSINESS Partner,,951 N MAIN ST UNIT 1,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"PROVIDENCE, RI 02904",,,,
,,,-2727088,,,,
,,,josh@envisionsuccess.net,,,,
,,,Visit Website,,,,
Technical Support International,BUSINESS Partner,,10 Mechanic St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Foxborough, MA 02035-2076",,,,
,,,-5437486,,,,
,,,glouise@tsisupport.com,,,,
,,,Visit Website,,,,
New England Network Associates LLC,BUSINESS Partner,,25 OLD COLONY RD,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"FOXBORO, MA 02035",,,,
,,,-6625807,,,,
,,,sales@nenetwork.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,551 N Main St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Providence, RI 02904-5722",,,,
,,,-2723228,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Industrial Defender Inc,BUSINESS Partner,,16 Chestnut StSte 300,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Foxborough, MA 02035",,,,
,,,-7187207,,,,
,,,jgennari@industrialdefender.com,,,,
,,,Visit Website,,,,
Carandasupply.com,BUSINESS Partner,,1 Emilys Way,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"North Providence, RI 02904",,,,
,,,-3910515,,,,
,,,ccaranda@ccaranda.biz,,,,
,,,Visit Website,,,,
Output Management Group,BUSINESS Partner,,42 Cherry StSte 301,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Woonsocket, RI 02895",,,,
,,,-3771696,,,,
,,,mmoylan@outputmgroup.com,,,,
,,,Visit Website,,,,
Software Sources,BUSINESS Partner,,14 Ephriam Dr,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-7402557,,,,
,,,jedonlan@softwaresources.com,,,,
,,,Visit Website,,,,
Reliable IT LLC,BUSINESS Partner,,215 N Brow St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"East Providence, RI 02914-4417",,,,
,,,-7325988,,,,
,,,info@reliable-it.net,,,,
,,,Visit Website,,,,
DMAC Technology Group Inc,BUSINESS Partner,,328 Maple St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-2389301,,,,
,,,daron@dmac-tech.com,,,,
,,,Visit Website,,,,
Flanagan Bookstore Community College of Rhode Island,BUSINESS Partner,,1762 Louisquisset Pike,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Lincoln, RI 02865",,,,
,,,-3337411,,,,
,,,dlydeard@ccri.edu,,,,
,,,Visit Website,,,,
Best Buy.com,BUSINESS Partner,,280 School St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-2379176,,,,
,,,hpportal@bestbuy.com,,,,
,,,Visit Website,,,,
ITLNOW Inc,BUSINESS Partner,,622 GRGE WASH HWY STE 603,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"LINCOLN, RI 02865",,,,
,,,-3492535,,,,
,,,ravila@itlnow.com,,,,
,,,Visit Website,,,,
Spade Technology Inc,BUSINESS Partner,,800 S Main StSte 103,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-3144",,,,
,,,-3395670,,,,
,,,mkeough@spadetechnology.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,390 West St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-1161",,,,
,,,-2613396,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Instock Design Supply Inc,BUSINESS Partner,,44 Wood Ave Bldg 1,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048-1255",,,,
,,,-2611865,,,,
,,,info@instockdesign.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,2000 Diamond Hill Rd,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Woonsocket, RI 02895-1554",,,,
,,,-7659066,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
OfficeLand,BUSINESS Partner,,125 HIGH ST STE 7,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"MANSFIELD, MA 02048",,,,
,,,-2851387,,,,
,,,mutchler@officelandma.com,,,,
,,,Visit Website,,,,
